D401,Nonton film surga yang tak dirindukan sendirian. Sumpah jelas banget aku cewe yang kecewa sama lelaki… (at @cinema21 ) — https://path.com/p/36zpXN,Negatif,Positif
D402,Ya akhirnya aku sudah nonton film ka @bellaudya829 Surga Yang Tak Dirindukan benar-benar menguras air mata https://pic.twitter.com/IGrSnfXakuz,Positif,Negatif
D403,"Nonton film surga yang tak dirindukan , banyak yang jualan bawang kayaknya di sini, mata perih (at @cinema21 ) — https://path.com/p/2XnQZh",Negatif,Negatif
D404,Suka banget sama film surga yang tak dirindukan . Ada dua kalimat yang sudah aku lakukan dalam… (at @cinema21 ) — https://path.com/p/3DLZJb,Positif,Positif
D405,Di bikin bengep nih mata sama film surga yang tak dirindukan .. Bagus filmnya (with Nurma at @mccibubur) [pic] — https://path.com/p/451xx2,Positif,Positif
D406,"""Allah hanya menerima orang-orang yang sabar dan ikhlas"" tidak sia-sia nonton film Surga Yang Tak Dirindukan .",Positif,Positif
D407,Surga yang tak dirindukan film pelajaran banget #goodMovie (with @tatu at @cinema21 ) — https://path.com/p/3KC4ux,Positif,Positif
D408,Surga yang tak dirindukan .. sampai bosan saya nontonnya..hahaha :p (with @Tri at @cinemaxxtheater ) — https://path.com/p/4vIVPY,Negatif,Negatif
D409,"wajib nonton surga yang tak dirindukan ,filmnya bagus banget sampai bikin orang menangis @bellaudya829 … https://instagram.com/p/5RpdqUThtx/",Positif,Positif
D410,Dan ini adalah film yang membosankan kedua yang saya tonton setelah after earth (with @Arumii at @cinema21 ) [pic] — https://path.com/p/2sSb85,Negatif,Negatif
D411,"Demi apa ini film ga jelas banget...sama aja kaya after earth ,untung nonton pake tiket gratis jadi ga menyesal banget sih --"" http://myloc.com/rY5M2",Negatif,Positif
D412,Ternyata film COMIC 8 memang benar-benar lucu & gokil pemainnya.:#,Positif,Positif
D413,Suka banget sama jalan cerita film Comic 8 . Semacam reinkarnasi warkop DKI dalam versi modern tapi bukan plagiasi. BAGUS!! @Comic8TheMovie,Positif,Positif
D414,"@Indro_Warkop om film Comic 8 gokil banget, jadi mau nonton lagi, di tunggu film selanjutnya",Positif,Negatif
D415,Nonton film comic 8 . Gak lucu. Tapi mbak-mbak dibelakang ketawanya heboh x( (@Blitz Megaplex Grand Galaxy Park) http://4sq.com/1jW0ToX,Negatif,Negatif
D416,"Film Comic 8 keren! Salah satu film indonesia yang bikin mikir, bikin nebak-nebak sampe akhir",Positif,Positif
D417,"#GerbangNeraka memberikan variasi baru nan segar dalam perfilman Indonesia, walau seharusnya misterinya bisa hadir lebih matang lagi. 3/5",Negatif,Positif
D418,`@farhanadi96 oi ya memang film comic 8 seru ya?,Negatif,Negatif
D419,"Iya,tapi banyak adegan yang datar, kurang greget RT@PlasaMSN : Prediksi Jokowi tentang larisnya Film ""Comic 8 "" ternyata benar http://on-msn.com/1ifgexH",Negatif,Negatif
D420,"Hahaha kocak film comic 8 gak kebaca jalan ceritanya , jadi susah di tebak hahahaha keren abis",Positif,Positif
D421,Mau nonton my idiot brother lagi :( sumpah itu film berhasil banget bikin aku menangis sesegukan :'),Positif,Positif
D422,Film my brother idiot benar-benar dah autis benar  hahaha,Negatif,Positif
D423,Sukses banget film my idiot brother bikin menangis ga berhenti-berhenti,Positif,Positif
D424,ceritanya menguras air mata :( my idiot brother #sad #ending #film #MyIdiotBrother #today #cinema #XX1 … http:// instagram.com/p/t0Ksq,Positif,Negatif
D425,Film my idiot brother sukses bikin menangis.jadi inget kalian! (with @echojunanto at @nonniipriincess) — https://path.com/p/1tUwv2,Positif,Positif
D426,Film my brother idiot bikin aku keluar-keluar studio bengep matanya hahahaha gila keren,Positif,Positif
D427,Lebih seru juga my idiot brother ya ka RT @aronashab : Film Annabelle ga seru.,Positif,Positif
D428,Sukses buat yang bikin film my idiot brother sukses buat orang nangis 1 studio,Positif,Positif
D429,"My brother idiot ternyata seru banget. Ada geli,jijik,sebel,kesel, lucu,ketawa-ketawa,yang paling mengesankan terakhir film kita menangis pijar :"" .",Positif,Positif
D430,Oke fix film my idiot brothernya bikin aku cengeng :'( sumpah bagus dan disitu ka kim cantik pake banget @kimbrlyryder ^^,Positif,Positif
D431,"film ke 2 ""Supernova"" film terlama dan gak ngerti apa maksudnya… (at @cinema21 ) [pic] — https://path.com/p/3dVqQU",Negatif,Negatif
D432,"Kesimpulan dari film supernova ""Junot ganteng banget""",Positif,Positif
D433,"Yang hampir hilang dari film supernova : parallel universe saat tokoh-tokoh yang dibuat Dimas Ruben satu-satu muncul jadinyata, cuma di akhir saja, gak kaget.",Negatif,Negatif
D434,Supernova ! perlu mencerna pikiran lebih dalam buat tau isi film (with @anithaf24 at blitzmegaplex) [pic] — https://path.com/p/3qd5LL,Negatif,Negatif
D435,Agak sedikit mual.. Mungkin efek nonton film supernova semalam belum abis..,Negatif,Negatif
D436,"Ternyata kantornya Rana di film supernova gak se bagus yang di lihat hahaha --""",Negatif,Positif
D437,"59. Truth or Dare #TruthOrDare awalnya lumayan menyenangkan meski permainan dan dramanya receh banget. Namun makin lama kok makin jelek, makin ngelantur, dan makin sulit dimengerti ini film maunya gimana, faedahnya apa, dan kenapa saya masih terus menyaksikannya... 1,5/5 https://pic.twitter.com/Yr4KUsPFHy",Negatif,Negatif
D438,lah gimana kakak ? RT @sssthi : Kelar nonton #supernova aku ga bisa cerita ulang tuh film tentang apa dan maksudnya apa. Ga puas aja rasanya,Negatif,Negatif
D439,"Film supernova itu film ""terbrengsek"" tahun ini!!! Keren & ga ketebak!! (at Mall kota kasabelangka) — https://path.com/p/49xu0N",Positif,Positif
D440,"RT @gagalman : Supernova : ""Banyak nanya. Sana bikin ask.fm"" Begitu kira-kira harapan penonton film SUPERNOVA saat di dalam bioskop.",Negatif,Positif
D441,Berat banget nih film cc: @nizanizaniza ? Supernova (at @21cineplex ) — https://path.com/p/3qSqD2,Negatif,Negatif
D442,Film Supernova film paling gak jelas yang pernah aku tonton,Negatif,Positif
D443,Huh ini film Supernova film paling kocak yang pernah kutonton,Negatif,Negatif
D444,Salah satu film Indonesia yang lumayan bikin kram otak.... :D #latepost ? Supernova (w/ @Edrick at Summarecon Bekasi XXI) — https://path.com/p/3v3auQ,Negatif,Negatif
D445,Baru selesai nonton supernova sama calon kakak ipar :p .. ini film paling kompleks… (w/ @Risyky at XXI Belieview Cinere) — https://path.com/p/3ZKaDF,Positif,Negatif
D446,"Baru kali ini nonton film bioskop mikir keras, dari alur cerita sampe dialognya yang berhasil bikin nyut-nyutan kepala lokasinya keren-keren #supernova",Positif,Positif
