D1,"Kolaborasi seru @KineriaMovie : Angga Dwimas Sasongko Siap Garap ""FILOSOFI KOPI"" http://www.kapanlagi.com/showbiz/film/i ndonesia/angga-dwimas-sasongko-siap-garap-filosofi-kopi-333b35.html � @FILM _Indonesia @anggiakharisma",Positif
D2,"Wah :)) Filosofi Kopi harus sama bagus nya atau lebih @MirLes : @anggasasongko @GlennFredly Anggia, Film Cahaya Dari Timur bagus! @kineforum",Positif
D3,"Pada heboh film filosofi kopi akhir-akhir ini, padahal pers nya sama cerita nya sudah buming semenjak bulan november di senayan .. Pada telat update ..",Negatif
D4,"Yakin di film in?? RT @OhKutipanBuku : Teaser poster untuk film Filosofi Kopi !!!!!! https://pic.twitter.com/1kFOm8aDds""",Negatif
D5,"RT @looohh : Rio Dewanto: Penonton Film  ""Filosofi Kopi The Movie"" Bisa Dapat Pengetahuan Tentang Kopi http://dlvrit.com/83Dxkb ..""",Positif
D6,oh .. jadi mau ada film baru yang berasal dari novel judul nya Filosofi Kopi . Pokok nya aku wajib tonton!,Positif
D7,"Bacaan sore tentang Filosofi Film eh, Kopi RT @candra_aditya : Moral Berharga Yang Aku Dapatkan Dari Film Filosofi Kopi http://www.provoke-online.com/index.php/candra-aditya/9946-moral-berharga-yang-gue-dapatkandari-film-filosofi-kopi �",Positif
D8,"""Filosofi kopi 2 : Ben & Jody"". Buat aku ini bukan cuma sekedar film . Karena dari awal aku terbuka dan menjadi punya perhatian yang sangat besar di Industri Per KOPI an Indonesia.� https://www.instagram.com/p/BWfmRjVDJ6Q/",Positif
D9,"Keren-keren ini pemain film Filosofi Kopi 2, istimewa nya lagi bisa menikmati screaning film nya� https://www.instagram.com/p/BWKe39hl6_r/",Positif
D10,"sekuel filosofi kopi dibuat menarik nya, film ini tidak hanya terjebak dalam satu lokasi saja, melainkan juga akan mengunjungi tempat-tempat khusus seperti Bali, Yogyakarta ..#filosofikopi2 https://www.instagram.com/p/BO9zXL0Af_5/",Positif
D11,Oke. Tahun baru banyak film Indonesia bagus. Pengin menonton Filosofi Kopi,Positif
D12,Menghilangkan penasaran sama Kopi Tiwus. Kaya di film nya gitu. Haha (at Filosofi Kopi ) � https://path.com/p/3EIzVm,Positif
D13,Sudah tonton film filosofi kopi ? Belum afdol kalau belum ke kafe nya langsung!� (w/ Tommy at Filosofi Kopi ) [pic] � https://path.com/p/4lzyYS,Positif
D14,"omong-omong perawi film Filosofi Kopi itu siapa? jangan-jangan dhaif, jadi tak persis seperti novel nya.",Negatif
D15,Beda beda tipis lah ganteng nya. Akting Rio bagus banget di film Filosofi Kopi . Kamu harus tonton� https://instagram.com/p/2dDA5TQ785/,Positif
D16,"Makasih filosofi kopi , film ini hebat!",Positif
D17,"Filosofi Kopi & Guru Bangsa belum di tonton, film bagus Indonesia yang lain sudah mau tayang :(",Positif
D18,"saya tidak terlalu suka film indonesia, tapi waktu menonton filosofi kopi ini keren! wajib tonton ya ,apalagi pecinta kopi cc @filkopmovie",Positif
D19,Rekomendasi: Film filosofi Kopi keren sampai menonton 2x begini ini (with Mom at @cinema21 ) � https://path.com/p/3Dwwaj,Positif
D20,"hidup ini gak sempurna ya begini ada nya #Filosofi Kopi Tiwus, keren banget film nya @GlennFredly",Positif
D21,Masih sedang berlangsung film filosofi kopi satu yang aku dapat adalah. Kuku jempol chiko jeriko jelek :)),Negatif
D22,"Tonton film indonesia "" filosofi kopi "",mata pegal layar nya gerak-gerak� (w/ Kiko, Caroline, & BerthaRia at XXI cipinang Indah Mall) � https://path.com/p/49XGnO",Negatif
D23,"Ayo RT @maulidash : Ayo bitra RT @KopiID : Bagi para pecinta kopi , film ini masuk kategori wajib tonton; ""Film Filosofi Kopi""",Positif
D24,The secret suster ngesot urban legend itu film horor apa iklan mobil,Negatif
D25,"""The Secret : Suster Ngesot Urban Legend"" Pengorbanan Cinta Berujung Petaka Kepul http://hotdetik.com/read/2018/04/25/114708/3989688/229/the-secret-suster-ngesot-urban-legend-pengorbanan-cinta-berujung-petaka",Negatif
D26,"The Secret Suster Ngesot Urban Legend batal tayang di daerah Palopo, Sulawesi Selatan setelah diprotes oleh asosiasi perawat karena penggunaan kata ""suster "". Kalau judul FTV Indosiar: Akibat Kebanyakan Gimmick dan Settingan, Film ku Di boikot dan Batal Tayang https://pic.twitter.com/ozzSSWv7bz",Negatif
D27,Ih Ngeri.. Ada Yang Kesurupan Saat Promo Film The Secret - GO SPOT https://youtube.com/BP-PKca5_Y8 lewat @YouTube,Negatif
D28,Iklan film the secret saja bikin seram tidak mau liat kanan-kiri kalau lampu kamar sudah mati. Apa lagi menonton nya huh,Negatif
D29,"Selamat kak raffinagita1717 untuk film ""The Secret Suster Ngesot Urban Legend"" film nya banyak rasa nya lucu,baper, sedih juga nonton ya besok 26 april di bioskop kesayangan kamu https://pic.twitter.com/WuwAidUOov",Positif
D30,"Nagita Slavina Ternyata Terpaksa Bermain di Film Raffi Ahmad, The Secret Suster Ngesot http://dlvrit.com/QQwrt6",Negatif
D31,: saya : teman saya : eh pengin menonton horor deh. Saran film horor dong : itu... Yang the secret of apa tuh... Secret of suster ngen EH ngesot,Negatif
D32,Film The Secret : Suster Ngesot Dibuat dengan Logika Ngesot https://ifttt.com/2JCwkUV #perfilmanindonesia #filmindonesia,Negatif
D33,"pengin nonton the secret walaupun saya takut sama film horor apa lagi pas teman yang sudah menonton bilang seram banget saya semakin kepo kan""",Negatif
D34,Tidak sesuai ekspektasi. #Danur . (at @cinema21 ) � https://path.com/p/42L5wt,Negatif
D35,"Danur 1&2. Tidak jelas banget cerita nya, apalagi yang kedua gantung parah (tonton juga lagi saya wkwk), alur nya biasa saja, banyak yang menonton waktu part 1 karena pemasaran nya saja kali itu bagus bikin penasaran dan masuk film horor indonesia terbanyak penonton nya.",Negatif
D36,Berhasil bikin parno ? Danur (with yusuf at @cinema21 ) � https://path.com/p/4hOTe5,Positif
D37,"DANUR nya kurang seram, masih seram juga DANUR kuning pernikahan mantan . . . . . #danur #danurmovie � https://www.instagram.com/p/BSqPTEhAwA9/",Negatif
D38,Biasa saja ah ? Danur (with AhmadSyahruji at @cinema21 ) � https://path.com/p/JxfSm,Negatif
D39,Tidak seram kembalikan uang ? Danur (with Sari at @cinema21 ) � https://path.com/p/4tjRZs,Negatif
D40,Lumayan bikin takut juga suara nya tapi durasi film nya kurang panjang ? Danur (with intan at @cinema21 ) � https://path.com/p/37NnTq,Negatif
D41,"Gak ada seram-seram nya ah ? Danur (with Dwi, salsabilah, and 5 others at Gading XXI) � https://path.com/p/3HqlnP",Negatif
D42,"Mengharukan banget, sampai menangis menonton danur ,, sukses buat kak @PrillyBie semoga penontonnya� https://www.instagram.com/p/BSlrf22jbQe/",Positif
D43,"Seru dan bikin ketawa ngakak wkwk ? Danur (with Yessa, RAHADIMAS, and 2 others at @cinema21 ) � https://path.com/p/1oYFMt",Positif
D44,Tidak seram banget deh ? Danur (with Indra at Cinemaxx Mal Lippo Cikarang) � https://path.com/p/3oLPIk,Negatif
D45,"50. Danur 2: Maddah #Danur2Maddah mengalami peningkatan di banyak aspek dari film pendahulunya. Meski tidak terlalu istimewa dari segi cerita, Awi Suryadi setidak nya mampu menjaga deretan jump scare di film ini agar tetap pada jalur nya dan tak melenceng jadi film yang murah. 3/5 https://pic.twitter.com/JkjHvuJcoN",Positif
D46,Ga seram ah danur .... (with Debby at @teraskotabsd ) � https://path.com/p/aTgDt,Negatif
D47,Paling malas menonton seperti ini ? Danur (with Shafa and @PUTZALLEA at @cinema21 ) � https://path.com/p/1wIM2p,Negatif
D48,"harus melewati jumlah si film ngesot yang sebelum nya kalau bisa mengalahkan danur kalau tidak mah berani-berani tapi ujung nya ditertawakan jadi bahan ""ejekan"" baru setelah rafathar...ya minimal lebih dari rafathar ..",Negatif
D49,Hahahahhahaha ekspresi kakak-kakak saya ketika menonton film Danur orang pada menonton menghadap depan� https://www.instagram.com/p/BSnZ-w0F97u/,Negatif
D50,8.... film cek toko sebelah (berniat sekali ingin menonton karena rating yang bagus) maka saya tidak akan menonton nya.,Negatif
D51,Untuk ke-5x nya menonton ini film dan tetap tidak bosan dan� ? Cek Toko Sebelah (w/ BaimBat & Andika at @cinema21 ) � https://path.com/p/17x830,Positif
D52,Untuk ke 2 nya. Cintai film indonesia. Buat yang bagus saja� ? Cek Toko Sebelah (w/ Icha & Abe at @cinema21 ) � https://path.com/p/2K8kZN,Positif
D53,"Selesai menonton film yang lucu, kocak,  sedih dan mengharukan . . #cektokosebelah � https://www.instagram.com/p/BPfTVSzDK4K/",Positif
D54,"film sederhana tapi membuat hati tersentuh.. ""harta yang paling berharga adalah keluarga""� ? Cek Toko Sebelah (w/ Maria Caroline & maryo at Gading XXI) � https://path.com/p/4pzAUD",Positif
D55,Salah satu film Indonesia yang sukses bikin & hebat! Keren� ? Cek Toko Sebelah (w/ Intan at @puri_indah_mall ) � https://path.com/p/1vljDW,Positif
D56,Habis menonton cek toko sebelah film oleh @ernestprakasa .. film yang kocak dan penuh makna.. @Cinema� https://www.instagram.com/p/BO4h8fHBchK/,Positif
D57,"Menurut saya sih film hangout nya radit kalah sama film cek toko sebelah nya ernest, lebih lucu� (at Gading 21) � https://path.com/p/3kBaSz",Positif
D58,"Cek Toko Sebelah , salah satu film Indonesia yang gue tonton 2x. Tonton sendiri� (w/ Rachel at @cinema21 ) [pic] � https://path.com/p/ciSaX",Positif
D59,"Sebuah kebanggaan bagi DC dan WB. Karena sebelum film DC yang telah di produksi mengalami kegagalan, seperti Justice league dan Suicide Squad .",Positif
D60,Nonton film yang kata nya rating nya jelek ? Suicide Squad (with jayanti at @cinemaxxtheater ) � https://path.com/p/2dtwVM,Negatif
D61,"Oh My God! Film ini musuh nya tolong jangan terlalu jelek ya, bikin pengin muntah. Will Smith charming abis dan Margot berhasil menjadi pencair suasana.  8,5/10? Suicide Squad (w/ Ayu at @epiwalk ) � https:// path.com/p/4aM7Uw",Positif
D62,Gak seru ah.. Cerita nya klasik banget dan mudah ketebak ? Suicide Squad (with Lia and Fadhila at @cinema21 ) � https://path.com/p/570Dj,Negatif
D63,Baru menonton udah basi banget ? Suicide Squad (at Pt Ace Bio Care) � https://path.com/p/3by6FK,Negatif
D64,Ada 8 kali nonton sumpah tidak bikin bosen karena di dalam film ini begitu banyak  cinta :D� ? Suicide Squad (at @RentZyzGames) � https://path.com/p/1cCrqc,Positif
D65,"Nah ini film yang anti mainstream penjahat lawan penjahat ? Suicide Squad (at @globaltvseru ) � https://path.com/p/2PjMS9""",Positif
D66,"diawal film tidak mengerti siapa saja pemain nya, agak tidak menyambung sama jalan cerita nya :D� ? Suicide Squad (at @cinema21 ) � https://path.com/p/1VjIJG",Negatif
D67,"Film Suicide Squad itu, kaya tampang pacar kamu.. Biasa",Negatif
D68,"Penasaran sama ini film yang kata nya bagus banget� ? Suicide Squad (w/ Yuni, fathimaafp, & aprillia at XXI pejaten village) � https://path.com/p/1AAhZY",Positif
D69,99 cahaya di langit eropa . Tidak terlalu bagus. (@Detos 21 - @cinema21 w/ 6 others) http://4sq.com/1dHyqfQ,Negatif
D70,99 cahaya di langit eropa bagus banget..orang menonton eh @rickyrechez malah tidur (with @rickyrechez at @cinema21 ) � https://path.com/p/184Zs5,Positif
D71,"Film inspirasi banget, 99 Cahaya di Langit Eropa :')",Positif
D72,Menetes air mata liat film ini 99 cahaya di langit Eropa . Banyak banget pelajaran nya (at Karawang) [pic] � https://path.com/p/3mDHcX,Positif
D73,Tau saja kak RT @Aprilahfadiyah1 : Nanti stefen yang sering makan daging babi di film 99 Cahaya di langit eropa 2 di tabrak mobil,Negatif
D74,Karena tidak ada film terpaksa nonton 99 cahaya di langit eropa . Padahal mah najis banget menonton nya,Negatif
D75,99 Cahaya di Langit Eropa adalah film Indonesia terbaik yang pernah saya tonton setelah Rumah Dara dan Habibie Ainun.,Positif
D76,Waktu di bioskop Menonton 99 cahaya di langit eropa ....1 bioskop Menangis Hahaha Pas yang kedua nya pada menangis pijar ..pokok nya keren itu film,Positif
D77,Subhanallah. film 99 cahaya di langit eropa bagus banget. Menginspiratif + menambah ilmu keislaman saya. terima kasih @hanumrais karya yang luar biasa,Positif
D78,RT @venessaar : Subhanallah keren banget film 99 Cahaya di Langit Eropa :'),Positif
D79,Ternyata film 99 cahaya di langit eropa itu cuma setengah saja dari novel nya. Dan nanti ada yang part 2 nya..,Negatif
